Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
TXN, Texas Instruments Incorporated, 97.85, -0.11,-0.11, 6766952, -.1,
KHC, The Kraft Heinz Company, 52.07, 0.08,0.15, 8887844, .1,
FOX, Twenty-First Century Fox Inc., 47.74, -0.05,-0.1, 3238982, .0,
FOXA, Twenty-First Century Fox Inc., 48.19, -0.08,-0.17, 8173399, -.1,
ULTA, Ulta Beauty Inc., 313.44, 1.63,0.52, 795177, .1,
VRSK, Verisk Analytics Inc., 123.83, -0.05,-0.04, 934082, .0,
VRTX, Vertex Pharmaceuticals Incorporated, 165.11, -1.56,-0.94, 1662513, -.4,
VOD, Vodafone Group Plc, 19.61, -0.26,-1.31, 6371240, -.1,
WBA, Walgreens Boots Alliance Inc., 82.53, 0.24,0.29, 3090033, .2,
WDC, Western Digital Corporation, 46.6, -0.13,-0.28, 3616887, .0,
WDAY, Workday Inc., 134.23, -1.95,-1.43, 1242193, -.3,
WYNN, Wynn Resorts Limited, 107.77, 1.37,1.29, 2411249, .1,
XLNX, Xilinx Inc., 90.54, 2.03,2.29, 4966823, .5,
